Field,Location,Type,Active
AxisLabelX,InstrumentData|AxisLabelX,String,FALSE
AxisLabelY,InstrumentData|AxisLabelY,String,FALSE
ChannelLables,InstrumentData|ChannelLables,String,FALSE
InstrumentFlags,InstrumentData|Flags,String,TRUE
HardwareVersion,InstrumentData|HardwareVersion,String,TRUE
InstrumentModel,InstrumentData|Model,String,TRUE
InstrumentName,InstrumentData|Name,String,TRUE
SerialNumber,InstrumentData|SerialNumber,String,TRUE
SoftwareVersion,InstrumentData|SoftwareVersion,String,TRUE
Units,InstrumentData|Units,String,FALSE
RawCreationDate,FileHeader|CreationDate,DateTime,TRUE
RawFileDescription,FileHeader|FileDescription,String,TRUE
RawFileType,FileHeader|FileType,String,TRUE
RawModifiedDate,FileHeader|ModifiedDate,DateTime,TRUE
NumberOfTimesCalibrated,FileHeader|NumberOfTimesCalibrated,Integer,TRUE
NumberOfTimesModified,FileHeader|NumberOfTimesModified,Integer,TRUE
Revision,FileHeader|Revision,String,TRUE
RawWhoCreatedId,FileHeader|WhoCreatedId,String,FALSE
RawWhoCreatedLogon,FileHeader|WhoCreatedLogon,String,FALSE
RawWhoModifiedId,FileHeader|WhoModifiedId,String,FALSE
RawWhoModifiedLogon,FileHeader|WhoModifiedLogon,String,FALSE
SampleVolume,SampleInformation|SampleVolume,Float,TRUE
SampleType,SampleInformation|SampleType,String,TRUE
ProcessingMethodFile,SampleInformation|ProcessingMethodFile,String,TRUE
RawPath,SampleInformation|Path,String,TRUE
RowNumber,SampleInformation|RowNumber,Integer,TRUE
IstdAmount,SampleInformation|IstdAmount,Float,FALSE
CalibrationFile,SampleInformation|CalibrationFile,String,TRUE
RawFileName,SampleInformation|RawFileName,String,TRUE
InstrumentMethodFile,SampleInformation|InstrumentMethodFile,String,TRUE
CalibrationLevel,SampleInformation|CalibrationLevel,String,FALSE
BarcodeStatus,SampleInformation|BarcodeStatus,String,FALSE
Barcode,SampleInformation|Barcode,String,FALSE
InjectionVolume,SampleInformation|InjectionVolume,Float,TRUE
Vial,SampleInformation|Vial,String,TRUE
SampleName,SampleInformation|SampleName,String,TRUE
SampleId,SampleInformation|SampleId,String,TRUE
Comment,SampleInformation|Comment,String,TRUE
SampleWeight,SampleInformation|SampleWeight,Float,TRUE
UserText,SampleInformation|UserText,String,FALSE
SpectraCount,RunHeaderEx|SpectraCount,Integer,TRUE
FirstSpectrum,RunHeaderEx|FirstSpectrum,Integer,TRUE
LastSpectrum,RunHeaderEx|LastSpectrum,Integer,TRUE
StartTime,RunHeaderEx|StartTime,Float,TRUE
EndTime,RunHeaderEx|EndTime,Float,TRUE
LowMass,RunHeaderEx|LowMass,Float,TRUE
HighMass,RunHeaderEx|HighMass,Float,TRUE
RunComment1,RunHeaderEx|Comment1,String,TRUE
RunComment2,RunHeaderEx|Comment2,String,TRUE
MaxIntensity,RunHeaderEx|MaxIntensity,Float,TRUE
FilterMassPrecision,RunHeaderEx|FilterMassPrecision,String,FALSE
MassResolution,RunHeaderEx|MassResolution,Integer,TRUE
MaxIntegratedIntensity,RunHeaderEx|MaxIntegratedIntensity,Float,TRUE
